request_id,category,source_field,value,name,type,total_dependencies_for_request
59,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,15
59,regulation_texts,regulations,"WR I o, GRZ 0.3, ED",,,15
59,regulation_texts,zone_code,WR I o,,,15
59,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 2 BauGB,,,15
59,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 3 Abs. 3 BPlanVO,,,15
59,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 31 Abs. 2 BauGB,,,15
59,granted_exemption_legal_references,granted_exemptions.1.text,§ 31 paragraph 2,,,15
59,granted_exemption_legal_references,granted_exemptions.1.text,§ 3,,,15
59,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 3,,,15
60,planning_instruments,development_plan,Baustufenplan Sasel,,,13
60,planning_instruments,plan_name,Sasel,,,13
60,planning_instruments,plan_type,Baustufenplan,,,13
60,planning_instruments,plan_primary_type,construction_plan,,,13
60,planning_instruments,plan_references,,Sasel,construction_plan,13
60,regulatory_ordinances,legal_ordinance,Baupolizeiverordnung,,,13
60,regulatory_ordinances,_notes,"Baupolizeiverordnung from June 8, 1938",,,13
60,regulation_texts,regulations,W I o,,,13
60,regulation_texts,zone_code,W I o,,,13
60,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,13
60,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,13
60,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,13
60,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 4,,,13
62,planning_instruments,development_plan,Bebauungsplan Billstedt 14,,,21
62,planning_instruments,plan_name,Billstedt 14,,,21
62,planning_instruments,plan_type,Bebauungsplan,,,21
62,planning_instruments,plan_primary_type,development_plan,,,21
62,planning_instruments,plan_references,,Billstedt 14,development_plan,21
62,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,21
62,regulatory_ordinances,_notes,"Baunutzungsverordnung from June 26, 1962",,,21
62,regulation_texts,regulations,"WR I, building boundaries, non-buildable area",,,21
62,regulation_texts,zone_code,WR I,,,21
62,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 69 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 35 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 35 Abs. 4 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 69 Abs. 1 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 3 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 69 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.text,§ 69 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.text,§ 35 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.text,§ 35 paragraph 4 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.text,§ 69 paragraph 1 HBauO,,,21
62,granted_exemption_legal_references,granted_exemptions.1.text,§ 3 HBauO,,,21
